model,acc,time,batch_size,max_memory_usage,mean_power_consumption
0,0.7157894736842105,0.999103546142578,1,2906.25,33.6719
0,0.7157894736842105,0.8872520923614502,4,2922.6953125,31.971300000000003
0,0.7157894736842105,0.864447832107544,8,2913.09375,30.802700000000005
0,0.7157894736842105,0.8544206619262695,16,2927.8671875,28.7851
0,0.7157894736842105,0.8409004211425781,32,2929.09765625,31.547700000000003
1,0.7684210526315789,1.1567373275756836,1,2908.2265625,32.625818181818175
1,0.7684210526315789,0.952369213104248,4,2934.109375,33.1957
1,0.7684210526315789,0.9088103771209716,8,2939.5234375,33.1957
1,0.7684210526315789,0.8810873031616211,16,2921.0859375,34.12779999999999
1,0.7684210526315789,0.860419511795044,32,2942.53515625,32.827
2,0.8,1.3209683895111084,1,2904.4375,32.591
2,0.8,1.0394504070281982,4,2921.5078125,36.91027272727273
2,0.8,1.012481451034546,8,2926.73828125,34.12954545454546
2,0.8,0.978722333908081,16,2925.546875,35.5168
2,0.8,0.9332520961761476,32,2919.05859375,35.3
3,0.7684210526315789,1.827204942703247,1,2940.75390625,40.37023076923078
3,0.7684210526315789,1.232128381729126,4,2945.65234375,35.076249999999995
3,0.7684210526315789,1.193068265914917,8,2917.27734375,37.16625
3,0.7684210526315789,1.0843636989593506,16,2960.33984375,36.21033333333333
3,0.7684210526315789,1.045443773269653,32,2942.8125,37.37683333333334
4,0.8105263157894737,2.3799245357513428,1,2965.14453125,42.346533333333326
4,0.8105263157894737,1.3085193634033203,4,2976.3828125,38.780307692307694
4,0.8105263157894737,1.2941045761108398,8,2978.765625,37.551153846153845
4,0.8105263157894737,1.1971173286437988,16,2970.05078125,34.482000000000006
4,0.8105263157894737,1.1515185832977295,32,2971.58984375,38.379250000000006
5,0.7473684210526316,1.2567648887634275,1,2894.5390625,35.781099999999995
5,0.7473684210526316,0.945908546447754,4,2900.24609375,33.3386
5,0.7473684210526316,0.8869121074676514,8,2888.0234375,32.41160000000001
5,0.7473684210526316,0.8730659484863281,16,2905.4140625,34.0924
5,0.7473684210526316,0.8581910133361816,32,2939.546875,32.4162
6,0.7263157894736842,1.2579569816589355,1,2897.34765625,35.10754545454545
6,0.7263157894736842,0.9793298244476318,4,2927.4296875,29.814300000000003
6,0.7263157894736842,0.9171714782714844,8,2932.37109375,32.352799999999995
6,0.7263157894736842,0.8782601356506348,16,2899.1484375,30.2719
6,0.7263157894736842,0.8610975742340088,32,2902.3359375,33.39359999999999
7,0.7473684210526316,1.3694031238555908,1,2901.671875,32.09490909090909
7,0.7473684210526316,0.9946742057800292,4,2914.3125,32.439499999999995
7,0.7473684210526316,0.9379158020019532,8,2915.234375,34.2408
7,0.7473684210526316,0.8975653648376465,16,2914.3359375,32.8781
7,0.7473684210526316,0.884040355682373,32,2936.5,31.418800000000005
8,0.7789473684210526,1.478637456893921,1,2904.6328125,35.32091666666667
8,0.7789473684210526,1.0350053310394287,4,2907.82421875,33.67018181818182
8,0.7789473684210526,0.947871208190918,8,2930.484375,34.11045454545455
8,0.7789473684210526,0.9306299686431884,16,2924.5546875,34.655818181818184
8,0.7789473684210526,0.9120802879333496,32,2905.79296875,34.599
9,0.8421052631578947,1.9380707740783687,1,2926.171875,39.78946153846153
9,0.8421052631578947,1.1962039470672607,4,2915.01953125,38.50608333333333
9,0.8421052631578947,1.1544508934020996,8,2930.66796875,39.86658333333333
9,0.8421052631578947,1.085456132888794,16,2928.36328125,40.58316666666666
9,0.8421052631578947,1.050806999206543,32,2954.66015625,38.36663636363637
10,0.8631578947368421,4.734667062759399,1,2968.203125,77.18368181818181
10,0.8631578947368421,4.586042404174805,4,2978.1875,76.46433333333334
